open_mower_ros  | [ERROR] [1776135643.595707521]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135654.152022978]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135714.151053961]: [driver_gps] waited 16 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135725.369620824]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135735.234460337]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135739.322393964]: [driver_gps] waited 14 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135744.477308183]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135799.236239799]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135859.277784633]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135903.306486311]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135946.878055452]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135949.657343005]: [driver_gps] waited 26 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135954.415970169]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135969.110142216]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136016.620347799]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136093.354625420]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136104.321158691]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136145.335310241]: [driver_gps] waited 16 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136159.317651103]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136163.427731045]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136164.283475766]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136175.421825278]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136265.350680928]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136293.309036449]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136313.404382955]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136314.272889881]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136333.512808721]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136344.289984122]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776136350.204871100]: NTRIP: socket read failed: Connection reset by peer
open_mower_ros  | [INFO] [1776136361.315323501]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776136372.826825272]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776136385.238937635]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776136398.950936923]: NTRIP: unable to connect to any resolved address
open_mower_ros  | [INFO] [1776136404.874279142]: NTRIP: connected to caster
open_mower_ros  | [INFO] [1776136414.833241339]: NTRIP: connection attempt 40
open_mower_ros  | [INFO] [1776136437.250944696]: NTRIP: connection attempt 41
open_mower_ros  | [INFO] [1776136480.649283837]: NTRIP: connection attempt 42
open_mower_ros  | [ERROR] [1776136505.397216804]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776136620.251941513]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
