mowgli-openmower | [ WARN] [1726489486.429123058]: got vx > 0.6 (0.606061) - dropping measurement
mowgli-openmower | [ WARN] [1726489489.288186256]: got vx > 0.6 (0.652174) - dropping measurement
mowgli-openmower | [ WARN] [1726489489.351104955]: got vx > 0.6 (0.652174) - dropping measurement
mowgli-openmower | [ INFO] [1726489489.369740267]: MowingBehavior: (MOW) Progress: 367/636
mowgli-openmower | [WARN] [1726489489.600963]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489489.607529]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489489.613519]: Actual Checksum:   0xCA6033
mowgli-openmower | [WARN] [1726489493.600391]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489493.604351]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489493.608109]: Actual Checksum:   0x7C814C
mowgli-openmower | [WARN] [1726489493.700466]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489493.704293]: Expected Checksum: 0x55321C
mowgli-openmower | [WARN] [1726489493.707942]: Actual Checksum:   0x42E770
mowgli-openmower | [WARN] [1726489493.711677]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489493.715674]: Expected Checksum: 0x92278C
mowgli-openmower | [WARN] [1726489493.719495]: Actual Checksum:   0xFC3BE5
mowgli-openmower | [ INFO] [1726489494.469120909]: MowingBehavior: (MOW) Progress: 381/636
mowgli-openmower | [ INFO] [1726489494.757645962]: GPS quality: 0.93
mowgli-openmower | [WARN] [1726489494.800438]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489494.804227]: Expected Checksum: 0x4CA565
mowgli-openmower | [WARN] [1726489494.808553]: Actual Checksum:   0x491251
mowgli-openmower | [ WARN] [1726489494.813276103]: got vx > 0.6 (-68.0833) - dropping measurement
mowgli-openmower | [ WARN] [1726489494.832719723]: got vx > 0.6 (-69.8291) - dropping measurement
mowgli-openmower | [ WARN] [1726489494.854660844]: got vx > 0.6 (-44.6448) - dropping measurement
mowgli-openmower | [ WARN] [1726489494.876164228]: got vx > 0.6 (-32.7711) - dropping measurement
mowgli-openmower | [ WARN] [1726489494.896030086]: got vx > 0.6 (26.8791) - dropping measurement
