sfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398373.858797736]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398373.859187061]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398374.359308490]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398374.359399322]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398374.773914032]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398374.858762027]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398374.858677825]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398375.358840387]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398375.358916293]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398375.773927145]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398375.858805548]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398375.858730568]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398376.358621529]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398376.358707120]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398376.773896508]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398376.858977630]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398376.859076498]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398377.358828411]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398377.358913187]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398377.773967323]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398377.860302216]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398377.860439509]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398378.358769881]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398378.358852527]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398378.773861945]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398378.858861663]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398378.858952716]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398379.359138555]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398379.359233479]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398379.773833112]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398379.858988679]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398379.859280488]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398380.358756734]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398380.358940249]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398380.774134429]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398380.859344292]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398380.859249349]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398381.360991868]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398381.361232382]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398381.774128076]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398381.859875187]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398381.860088683]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398382.358825212]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398382.358692992]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398382.774422095]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398382.859041267]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398382.859121802]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398383.361753034]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
